Customer ID,Gender,Age,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Monthly Charge,Total Charges,Total Revenue,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Payment Method,Paperless Billing,Phone Service,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Offer,Tenure in Months,Referred a Friend,Number of Referrals,Satisfaction Score,Customer Status,Churn Reason,Churn Category,Churn Label,Churn Score,CLTV,Churn,Tenure Category,Age Group,ARPU,Payment Consistency,Service Bundling Score,Complaint Frequency,Engagement Index,Senior Flag
8779-QRDMV,Male,78,Yes,No,No,0,United States,California,Los Angeles,90022,34.02381,-118.156582,68701,39.65,39.65,59.65,0.0,20,0.0,Bank Withdrawal,Yes,No,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Offer B,1,No,0,3,Churned,Competitor offered more data,Competitor,Yes,91,5433,1,0-1 Year,61+,59.65,1.5044136191677175,2,0,10,1
7495-OOKFY,Female,74,Yes,Yes,Yes,1,United States,California,Los Angeles,90063,34.044271,-118.185237,55668,80.65,633.3,1024.1,0.0,0,390.8,Credit Card,Yes,Yes,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer E,8,Yes,1,3,Churned,Competitor made better offer,Competitor,Yes,69,5302,1,0-1 Year,61+,128.0125,1.5872597644141349,1,1,18,1
1658-BYGOY,Male,71,Yes,No,Yes,3,United States,California,Los Angeles,90065,34.108833,-118.229715,47534,95.45,1752.55,1910.88,45.61,0,203.94,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer D,18,No,0,2,Churned,Competitor made better offer,Competitor,Yes,81,3179,1,1-2 Years,61+,106.16000000000001,1.1122053431115768,3,0,55,1
4598-XLKNJ,Female,78,Yes,Yes,Yes,1,United States,California,Inglewood,90303,33.936291,-118.332639,27778,98.5,2514.5,2995.07,13.43,0,494.0,Bank Withdrawal,Yes,Yes,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Offer C,25,Yes,1,2,Churned,Limited range of services,Dissatisfaction,Yes,88,5337,1,2-3 Years,61+,119.8028,1.2162720812182741,4,1,16,1
4846-WHAFZ,Female,80,Yes,Yes,Yes,1,United States,California,Whittier,90602,33.972119,-118.020188,26265,76.5,2868.15,3102.36,0.0,0,234.21,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer C,37,Yes,1,2,Churned,Extra data charges,Price,Yes,67,2793,1,3+ Years,61+,83.84756756756757,1.0960466348701643,0,1,14,1
4412-YLTKF,Female,72,Yes,No,Yes,1,United States,California,Pico Rivera,90660,33.989524,-118.089299,63288,78.05,2135.5,2235.41,0.0,10,89.91,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Offer C,27,No,0,1,Churned,Competitor had better devices,Competitor,Yes,95,4638,1,2-3 Years,61+,82.79296296296296,1.0607682634588464,1,0,19,1
0390-DCFDQ,Female,76,Yes,Yes,Yes,2,United States,California,Los Alamitos,90720,33.79499,-118.065591,21343,70.45,70.45,85.73,0.0,0,15.28,Mailed Check,Yes,Yes,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1,Yes,1,2,Churned,Don't know,Other,Yes,76,3964,1,0-1 Year,61+,85.73,1.2168914123491839,0,1,30,1
3445-HXXGF,Male,66,Yes,Yes,No,0,United States,California,Sierra Madre,91024,34.168686,-118.057505,10558,45.3,2651.2,2610.25,40.95,0,0.0,Bank Withdrawal,Yes,No,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Offer B,58,Yes,6,1,Churned,Service dissatisfaction,Dissatisfaction,Yes,91,5444,1,3+ Years,61+,45.00431034482759,0.9934726345436554,3,6,27,1
2656-FMOKZ,Female,70,Yes,No,Yes,2,United States,California,Pasadena,91106,34.139402,-118.128658,23742,74.45,1145.7,1806.75,0.0,0,661.05,Mailed Check,Yes,Yes,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer D,15,No,0,2,Churned,Limited range of services,Dissatisfaction,Yes,91,5717,1,1-2 Years,61+,120.45,1.617864338482203,0,0,19,1
2070-FNEXE,Female,77,Yes,No,Yes,2,United States,California,Pasadena,91107,34.159007,-118.087353,32369,76.45,503.6,681.2,11.05,0,188.65,Bank Withdrawal,No,Yes,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,Offer E,7,No,0,2,Churned,Lack of affordable download/upload speed,Price,Yes,81,4419,1,0-1 Year,61+,97.31428571428572,1.2729141362234888,1,0,19,1
0094-OIFMO,Female,78,Yes,No,Yes,1,United States,California,North Hollywood,91605,34.207295,-118.400022,57146,95.0,1120.3,1367.79,0.0,120,127.49,Bank Withdrawal,Yes,Yes,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Offer D,11,No,0,1,Churned,Product dissatisfaction,Dissatisfaction,Yes,85,5980,1,0-1 Year,61+,124.34454545454545,1.30888995215311,3,0,32,1
9947-OTFQU,Male,65,Yes,No,No,0,United States,California,Covina,91722,34.097345,-117.906736,33817,74.4,1074.3,1510.95,0.0,0,436.65,Bank Withdrawal,Yes,Yes,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer D,15,No,0,1,Churned,Competitor had better devices,Competitor,Yes,86,4616,1,1-2 Years,61+,100.73,1.3538978494623657,1,0,30,1
9514-JDSKI,Male,77,Yes,Yes,No,0,United States,California,El Monte,91732,34.074492,-118.01462,62660,40.2,40.2,40.2,0.0,0,0.0,Bank Withdrawal,No,No,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Offer E,1,Yes,1,2,Churned,Limited range of services,Dissatisfaction,Yes,65,5828,1,0-1 Year,61+,40.2,1.0,2,1,14,1
7273-TEFQD,Male,67,Yes,No,No,0,United States,California,La Puente,91746,34.038983,-117.991372,30802,41.15,132.2,132.2,0.0,0,0.0,Bank Withdrawal,Yes,No,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Offer E,3,No,0,2,Churned,Long distance charges,Price,Yes,96,2314,1,0-1 Year,61+,44.06666666666666,1.0708788983394086,3,0,31,1
3606-TWKGI,Male,68,Yes,No,No,0,United States,California,Rowland Heights,91748,33.976753,-117.897367,46342,106.9,1364.3,1799.14,0.0,10,424.84,Bank Withdrawal,Yes,Yes,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Offer D,13,No,0,1,Churned,Competitor had better devices,Competitor,Yes,84,2494,1,1-2 Years,61+,138.39538461538461,1.2946247391523351,4,0,15,1
4385-GZQXV,Female,68,Yes,No,No,0,United States,California,Ontario,91764,34.074087,-117.605618,49474,94.45,1511.2,1662.08,0.0,0,150.88,Bank Withdrawal,Yes,Yes,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Offer D,16,No,0,1,Churned,Competitor had better devices,Competitor,Yes,81,3810,1,1-2 Years,61+,103.88,1.0998411858125992,4,0,13,1
3488-PGMQJ,Male,66,Yes,No,No,0,United States,California,Alpine,91901,32.827184,-116.703729,16486,74.5,606.55,620.79,0.0,0,14.24,Bank Withdrawal,Yes,Yes,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer B,8,No,0,2,Churned,Poor expertise of online support,Dissatisfaction,Yes,80,4345,1,0-1 Year,61+,77.59875,1.0415939597315436,1,0,8,1
7534-BFESC,Male,69,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,76.1,1712.7,2453.58,0.0,0,740.88,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer C,24,No,0,2,Churned,Competitor made better offer,Competitor,Yes,91,2018,1,1-2 Years,61+,102.2325,1.3433968462549277,0,0,15,1
8098-LLAZX,Female,74,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,95.45,396.1,522.54,0.0,0,126.44,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Offer E,4,No,0,3,Churned,Competitor made better offer,Competitor,Yes,85,3677,1,0-1 Year,61+,130.635,1.3686223153483499,2,0,4,1
0265-EDXBD,Male,76,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,74.9,2303.35,3818.23,0.0,0,1514.88,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer C,32,Yes,2,2,Churned,Attitude of support person,Attitude,Yes,69,4105,1,2-3 Years,61+,119.3196875,1.5930532376502002,0,2,10,1
2840-XANRC,Male,77,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,93.15,2231.05,2617.45,0.0,0,386.4,Bank Withdrawal,Yes,Yes,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer C,24,Yes,1,2,Churned,Competitor made better offer,Competitor,Yes,73,2212,1,1-2 Years,61+,109.06041666666665,1.1708042583646445,4,1,16,1
5020-ZSTTY,Female,70,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,82.45,4350.1,5002.42,0.0,0,652.32,Bank Withdrawal,No,Yes,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Offer B,54,No,0,1,Churned,Competitor made better offer,Competitor,Yes,83,4149,1,3+ Years,61+,92.63740740740741,1.1235586101565482,6,0,11,1
5804-LEPIM,Female,74,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,70.35,139.05,165.39,0.0,0,26.34,Bank Withdrawal,Yes,Yes,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,2,No,0,3,Churned,Don't know,Other,Yes,73,2671,1,0-1 Year,61+,82.695,1.1754797441364606,0,0,10,1
0623-IIHUG,Female,77,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,41.9,840.1,840.1,0.0,0,0.0,Bank Withdrawal,Yes,No,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Offer B,21,No,0,1,Churned,Competitor made better offer,Competitor,Yes,90,4778,1,1-2 Years,61+,40.00476190476191,0.9547675872258211,2,0,10,1
9057-MSWCO,Male,71,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,30.75,805.1,945.1,0.0,140,0.0,Credit Card,No,No,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,Offer B,27,No,0,1,Churned,Competitor made better offer,Competitor,Yes,91,2927,1,2-3 Years,61+,35.00370370370371,1.1383318277627221,1,0,14,1
4895-TMWIR,Male,79,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,19.95,214.75,539.69,0.0,0,324.94,Mailed Check,No,Yes,No,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Month-to-Month,Offer B,11,Yes,1,1,Churned,Competitor made better offer,Competitor,Yes,80,5888,1,0-1 Year,61+,49.06272727272728,2.459284575074049,0,1,0,1
0533-BNWKF,Female,66,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,85.45,4874.7,7319.8,0.0,90,2355.1,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Offer B,55,Yes,2,1,Churned,Competitor made better offer,Competitor,Yes,91,5502,1,3+ Years,61+,133.08727272727273,1.5574871003776798,2,2,29,1
0334-GDDSO,Male,77,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,81.35,233.7,261.36,0.0,0,27.66,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer E,3,No,0,1,Churned,Competitor made better offer,Competitor,Yes,73,2818,1,0-1 Year,61+,87.12,1.0709280885064538,1,0,15,1
5564-NEMQO,Female,80,Yes,No,No,0,United States,California,Thermal,92274,33.53604,-116.119222,17018,75.3,75.3,130.39,0.0,20,35.09,Bank Withdrawal,Yes,Yes,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Offer E,1,No,0,2,Churned,Network reliability,Dissatisfaction,Yes,67,4902,1,0-1 Year,61+,130.39,1.7316069057104913,1,0,18,1
6235-VDHOM,Female,77,Yes,No,No,0,United States,California,Riverside,92509,34.004379,-117.447864,63999,28.45,131.05,131.05,0.0,0,0.0,Bank Withdrawal,No,No,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer E,5,No,0,2,Churned,Limited range of services,Dissatisfaction,Yes,89,4099,1,0-1 Year,61+,26.21,0.9212653778558876,1,0,27,1
5609-CEBID,Female,77,Yes,No,No,0,United States,California,Hemet,92544,33.644585,-116.871544,39264,94.1,1782.4,2837.0,0.0,80,974.6,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Offer B,20,No,0,1,Churned,Competitor had better devices,Competitor,Yes,87,2666,1,1-2 Years,61+,141.85,1.5074388947927737,3,0,15,1
5956-VKDTT,Female,72,Yes,Yes,No,0,United States,California,Moreno Valley,92557,33.970661,-117.255039,46214,74.35,334.8,563.6,0.0,0,228.8,Bank Withdrawal,Yes,Yes,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,5,Yes,4,1,Churned,Product dissatisfaction,Dissatisfaction,Yes,82,5273,1,0-1 Year,61+,112.72,1.516072629455279,0,4,22,1
